f024013,unreachable,0,1572864000,34359738368,39994735460352,CN,Asia,98,394621595156480,555429155,84
f096974,reachable,50000000,256,34359738368,1206164255670272,CN,Asia,98,857034954113024,485000000,85
f0159961,unreachable,0,57344,34359738368,698464761544704,CN,Asia,98,360777252864000,13636363,86
f023971,reachable,0,4294967296,34359738368,509176962875392,US,North America,98,373043679461376,2064731726,87
f05315,reachable,1000000000000000000,134217728,34359738368,103079215104,HK,Asia,98,9758165696512,88202130650,88
f0832373,unreachable,50000000,256,34359738368,111291192573952,CN,Asia,97,48241072668672,1160000000,89
f0805568,unreachable,50000000,256,34359738368,57140244905984,KR,Asia,97,10514079940608,27729681,90
f039800,reachable,1000000000000000000,57344,34359738368,524157808803840,CN,Asia,97,583119119843328,1374457274,91
f024146,unreachable,0,1572864000,34359738368,13503377178624,CN,Asia,97,160459978178560,510352344,92
f0228575,unreachable,0,256,34359738368,11785390260224,CA,North America,97,8830452760576,33072916,93
f035436,unreachable,50000000,256,34359738368,406406985416704,CN,Asia,97,559513979584512,1199346189,94
f02622,reachable,1000000000000000000,134217728,34359738368,34359738368,HK,Asia,97,10788957847552,67607612640,95
f0533124,reachable,10000000000,7516192768,34359738368,58617713655808,KR,Asia,97,412316860416,2365460526,96
f023859,unreachable,0,1572864000,34359738368,68719476736,CN,Asia,97,200454713638912,395224494,97
f024012,reachable,50000000,256,34359738368,10376640987136,HK,Asia,97,166301133701120,447558691,98
f018784,unreachable,1000000000000000000,134217728,34359738368,715197954129920,CN,Asia,97,869198301495296,26051666666,99
f023928,unreachable,0,1572864000,34359738368,47794396069888,CN,Asia,97,188428805210112,421015206,100
f0121533,unreachable,50000000,256,34359738368,5085241278464,CN,Asia,97,68719476736,5146,101
f023660,unreachable,0,1572864000,34359738368,1821066133504,CN,Asia,97,1685585685118976,424360389,102
f018780,unreachable,1000000000000000000,134217728,34359738368,274877906944,CN,Asia,97,113627654782976,67657188648,103
f014569,unreachable,1,104857600,34359738368,755914244096,CN,Asia,97,587345367662592,813671094,104
f0216138,reachable,5000000000000000,134217728,34359738368,138435385884672,CN,Asia,97,62053687492608,16562500,105
f081644,reachable,50000000,256,34359738368,40888088657920,CN,Asia,97,49718541418496,1774016736,106
f0121768,reachable,500000000,1073741824,34359738368,5690556789293056,CN,Asia,97,3533108817166336,500000000,107
f018785,unreachable,1000000000000000000,134217728,34359738368,534397010837504,HK,Asia,97,562675075514368,199271764823,108
f023565,unreachable,0,1536000,34359738368,9485796050468864,CN,Asia,97,7849104273047552,2046500498,109
f023869,unreachable,0,1572864000,34359738368,34359738368,CN,Asia,97,163964671492096,390878822,110
f0401416,reachable,100000000000,57344,34359738368,2164663517184,JP,Asia,97,1374389534720,20000000,111
f023495,reachable,1000000000000000000,134217728,34359738368,820510552227840,CN,Asia,97,877410278965248,4180000000,112
f023981,unreachable,0,1572864000,34359738368,68719476736,CN,Asia,97,201829103173632,346196741,113
f08019,reachable,100000000000,256,1048576,200214195470336,CN,Asia,97,267078246334464,20000000,114
f022261,reachable,1000000000,1024,34359738368,54013508714496,CN,Asia,97,46282567581696,411007859,115
f01280,unreachable,100000000000000000000,1073741824,34359738368,2510047607259136,CN,Asia,97,2229156746100736,62500000,116
f015747,reachable,100000000000,256,34359738368,10892037062656,JP,Asia,97,14534169329664,20000000,117
f039515,unreachable,50000000000,256,1073741824,2247573565865984,CN,Asia,97,2611580634136576,210626146,118
f023858,unreachable,0,1572864000,34359738368,47004122087424,CN,Asia,97,194579198377984,416445900,119
f03345,reachable,100000000000,256,34359738368,83975200571392,CN,Asia,97,126890513793024,20000000,120
f0225676,unreachable,50000000000,57344,34359738368,927712935936,KR,Asia,97,1305670057984,137505000000,121
f08383,reachable,1000000000000000000,134217728,34359738368,34359738368,HK,Asia,97,22333829939200,440938500249,122
f023855,unreachable,0,1572864000,34359738368,775086978105344,CN,Asia,97,1704861498343424,291721961,123
f03339,reachable,1000000000,1024,34359738368,1215750622674944,CN,Asia,97,1421909052882944,6297529337,124
f020904,unreachable,0,52428800,34359738368,584115552256,KR,Asia,97,38242388803584,21077490993,125
f018781,unreachable,1000000000000000000,134217728,34359738368,16767552323584,HK,Asia,97,48756468744192,134065355706,126
f019437,reachable,,,,304530361155584,KR,Asia,97,74457553043456,20000000,127
f020541,reachable,500000000000000,256,34359738368,13984413515776,CN,Asia,97,1511828488192,267708333,128
f0400103,reachable,100000000000,1048576,34359738368,25323127177216,HK,Asia,97,1511828488192,41250000,129
f0151034,unreachable,1010000000000000000,57344,34359738368,11647951306752,US,North America,97,7593502179328,15625000,130
f0134991,reachable,0,1536163840,34359738368,7465649592860672,CN,Asia,97,7315772414099456,660000000,131
f018782,unreachable,1000000000000000000,134217728,34359738368,781306090749952,CN,Asia,97,830440516616192,193075295305,132
f023861,unreachable,0,1572864000,34359738368,31645319036928,CN,Asia,97,209766202736640,503857109,133
f0512179,unreachable,50000000,256,34359738368,45629732552704,KR,Asia,97,6940667150336,2302857142,134
f023853,unreachable,0,1572864000,34359738368,917851691024384,CN,Asia,97,1878172018671616,274143313,135
f0399083,reachable,0,3221225472,34359738368,107752139522048,KR,Asia,97,3779571220480,345000000,136
f0134518,reachable,50000000,256,34359738368,397645252132864,CN,Asia,97,237047835000832,0,137
f023868,unreachable,0,1572864000,34359738368,68719476736,CN,Asia,97,191452462186496,450926254,138
f01159240,unreachable,50000000,256,34359738368,51058571214848,CN,Asia,97,115792318300160,20454545,139
f0231161,unreachable,50000000,256,34359738368,5016521801728,CN,Asia,97,5634997092352,20000000,140
f023854,unreachable,0,1572864000,34359738368,652835028992,CN,Asia,97,1451046111019008,442626400,141
f0108979,reachable,50000000,256,34359738368,18588618457088,KR,Asia,97,21921513078784,1478260869,142
f048669,reachable,500000000,1048576,4294967296,6624866794995712,CN,Asia,97,3630793553346560,270833333,143
f096976,reachable,10000,1048576,34359738368,26938034880512,RU,Europe,97,28071906246656,582068965,144
f0875411,reachable,50000000,134217728,34359738368,16595753631744,KR,Asia,97,11819749998592,3000000000,145
f064218,reachable,0,256,34359738368,321229194002432,US,North America,96,359059265945600,207559094221,146
f065103,reachable,1000000000000000000,256,34359738368,2436827004796928,HK,Asia,96,2317289475014656,632340761,147
f01234,unreachable,0,268435456,34359738368,1065632925745152,BE,Europe,96,650876523905024,50252717391,148
f030335,unreachable,5000000000,134217728,34359738368,285460706361344,CN,Asia,96,374761666379776,2262322065,149
f021714,reachable,100000000,256,34359738368,536046278279168,CN,Asia,96,639297292075008,10827266,150
f086151,unreachable,1000000100000000000,57344,57344,141562122076160,CN,Asia,96,175784421490688,731958927,151
f03273,reachable,1000000000000000000,134217728,34359738368,41506563948544,HK,Asia,96,409052685271040,195050719890,152
f0116436,reachable,50000000,256,34359738368,423793013030912,CN,Asia,96,256598526132224,0,153
f08157,unreachable,0,256,34359738368,4206525329440768,CN,Asia,96,3915567064940544,1706894648,154
f0822674,reachable,50000000,256,34359738368,1374389534720,KR,Asia,96,1958505086976,20000000,155
f024007,unreachable,0,1572864000,34359738368,68719476736,CN,Asia,96,1566254313766912,387040763,156
f01152097,reachable,0,134217728,34359738368,44255343017984,VN,Asia,96,39616778338304,0,157
f0418632,unreachable,0,256,34359738368,455094734684160,SG,Asia,96,247664994156544,1818181818,158
f01277,reachable,100000000000000,34359738368,34359738368,5463198400512,SE,Europe,96,1752346656768,2102338902,159
f01272,unreachable,100,10485760,34359738368,6302847327010816,CN,Asia,96,10988897165115392,80335182733,160
f052447,reachable,50000000,256,34359738368,1696134124797952,CN,Asia,96,1973554652381184,764981949,161
f023977,unreachable,0,1572864000,34359738368,34359738368,CN,Asia,96,203100413493248,547440958,162
f021444,unreachable,50000000,256,34359738368,14396730376192,CN,Asia,96,23880018165760,20000000,163
f0110133,unreachable,50000000,256,34359738368,20925080666112,CN,Asia,96,25082609008640,520675551,164
f022308,reachable,100000000000000,536870912,34359738368,652010395271168,CN,Asia,96,781409169965056,751938729,165
f0524489,unreachable,0,52428800,34359738368,2336462209024,KR,Asia,96,58136677318656,0,166
f05317,reachable,1000000000000000000,134217728,34359738368,240518168576,HK,Asia,96,80504866996224,70825592605,167
f010241,reachable,100000000000,256,34359738368,68719476736,HK,Asia,96,11751030521856,199623691322,168
f024084,unreachable,0,1572864000,34359738368,68719476736,CN,Asia,96,1009626552205312,464089804,169
f02540,reachable,500000000,256,34359738368,274053273223168,US,North America,96,177468048670720,735262451,170
f018783,unreachable,1000000000000000000,134217728,34359738368,137438953472,CN,Asia,96,12644383719424,204354782739,171
f0842485,reachable,10000000000,7516192768,34359738368,61091614818304,KR,Asia,96,274877906944,1058623417,172
f0440208,unreachable,0,256,34359738368,175646982537216,US,North America,96,34359738368,0,173
f023870,unreachable,0,1572864000,34359738368,68719476736,CN,Asia,96,164858024689664,452288430,174
f0109043,reachable,50000000,256,34359738368,233474422210560,HK,Asia,96,348029789929472,1000000516,175
f02627,unreachable,,,,1133871366144,CN,Asia,96,103079215104,0,176
f01128844,reachable,0,256,34359738368,12266426597376,ES,Europe,95,45664092291072,16000000,177
f01289763,reachable,0,1073741824,34359738368,5153960755200,FR,Europe,95,68719476736,2721666666,178
f019824,reachable,0,131072,2147483648,14602888806400,US,North America,95,35631048687616,22934570,179
f03347,unreachable,50000000,256,34359738368,1947509970698240,CN,Asia,95,2209674774446080,495117187,180
f01051828,unreachable,0,536870912,68719476736,196194106081280,US,North America,95,51608327028736,20000000,181
f01053334,reachable,50000000,256,34359738368,46110768889856,KR,Asia,95,11338713661440,20000000,182
f024147,unreachable,0,1572864000,34359738368,1717986918400,CN,Asia,95,193788924395520,357841528,183
f0397675,reachable,10000000000,57344,34359738368,927712935936,KR,Asia,95,1030792151040,121254000000,184
f0102313,reachable,10000000000,7516192768,34359738368,57312043597824,KR,Asia,95,51264729645056,1016748418,185
f019399,reachable,0,1073741824,34359738368,420047801548800,KR,Asia,95,421800148205568,154848543106,186
f054163,reachable,,,,962072674304,CN,Asia,95,37692632989696,466496710,187
f029404,reachable,1000000000000000000,134217728,34359738368,1162011991867392,HK,Asia,95,1251244232409088,74145517241,188
f09696,reachable,1000000000000000000,134217728,34359738368,65352222375936,HK,Asia,95,410427074805760,222254800200,189
f01033119,unreachable,50000000,256,34359738368,34359738368,FR,Europe,95,14499809591296,1150666666,190
f058369,unreachable,0,268435456,34359738368,8143257993216,US,North America,95,19000935317504,1663525093,191
f0116445,reachable,50000000,256,34359738368,426885389484032,CN,Asia,95,262886358253568,0,192
f01095915,reachable,0,57344,34359738368,270789098078208,CN,Asia,95,159016869167104,500000000,193
f022163,unreachable,0,2147484000,34359738368,3264175144960,CH,Europe,95,17798344474624,31243218874,194
f094901,unreachable,50000000,256,34359738368,166507292131328,KR,Asia,94,69784628625408,4522291666,195
f0722515,unreachable,50000000,256,34359738368,193204808843264,KR,Asia,94,128024385159168,599083208,196
f022853,reachable,50000000,256,34359738368,3411303544651776,CN,Asia,94,4025071551119360,961865920,197
f0410001,unreachable,0,256,34359738368,962072674304,CN,Asia,94,748492540608512,42462,198
